time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/n_updates,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations
243712,27.0,44.65380859375,,,,,,,,,,,,,,,
244736,27.0,46.405052185058594,56088.11662597656,-0.01834900333051337,-5.042211221158505,30241.25390625,0.0,0.009514442,0.05693359375,0.0003,0.2,1190,,,,,
245760,27.0,42.694576263427734,,,,,,,,,,,,,,,
245760,,,,,,,,,,,,,547,449,779.8687750099998,27.0,120
246784,27.0,41.380584716796875,62655.613342285156,-0.017849139298778027,-4.9973728731274605,31671.39453125,0.0,0.009144426,0.048974609375,0.0003,0.2,1200,,,,,
247808,27.0,41.805442810058594,,,,,,,,,,,,,,,
248832,27.0,45.502464294433594,60004.89146728515,-0.023087161482544617,-4.934523464739323,34921.78125,0.0,0.011656228,0.091064453125,0.0003,0.2,1210,,,,,
249856,27.0,38.10243225097656,,,,,,,,,,,,,,,
250880,27.0,48.04465866088867,61714.974157714845,-0.018539001946919598,-4.963225142657757,33638.37109375,0.0,0.01021139,0.065576171875,0.0003,0.2,1220,,,,,
251904,27.0,41.63174819946289,,,,,,,,,,,,,,,
252928,27.0,48.24555969238281,59886.601013183594,-0.01764164038031595,-4.941916233301162,31464.59765625,0.0,0.010301996,0.0578125,0.0003,0.2,1230,,,,,
253952,27.0,40.95699691772461,,,,,,,,,,,,,,,
254976,27.0,42.09615707397461,57852.47340087891,-0.019910507118038368,-4.95100254714489,29983.6328125,0.0,0.01054585,0.076025390625,0.0003,0.2,1240,,,,,
256000,27.0,48.19740295410156,,,,,,,,,,,,,,,
257024,27.0,41.8762321472168,55862.23151855469,-0.021451542824797797,-4.942573137581348,23707.990234375,5.960464477539063e-08,0.00998674,0.08134765625,0.0003,0.2,1250,,,,,
258048,27.0,44.503746032714844,,,,,,,,,,,,,,,
259072,27.0,35.521724700927734,62808.97766113281,-0.019710593023046386,-4.908490625023842,25636.46875,0.0,0.0104348585,0.059619140625,0.0003,0.2,1260,,,,,
260096,27.0,44.437400817871094,,,,,,,,,,,,,,,
261120,27.0,43.567893981933594,57434.84377441406,-0.018264498605276458,-4.869890795648098,29567.48046875,5.960464477539063e-08,0.00923072,0.059326171875,0.0003,0.2,1270,,,,,
262144,27.0,42.50361633300781,,,,,,,,,,,,,,,
263168,27.0,45.31836700439453,56316.38464355469,-0.02091614937526174,-4.864960680902004,29960.0,5.960464477539063e-08,0.011011582,0.09580078125,0.0003,0.2,1280,,,,,
264192,27.0,52.290283203125,,,,,,,,,,,,,,,
265216,27.0,46.035396575927734,62516.184045410155,-0.014697097850876162,-4.882068991661072,27659.3203125,0.0,0.009347793,0.0359375,0.0003,0.2,1290,,,,,
266240,27.0,44.1763916015625,,,,,,,,,,,,,,,
266240,,,,,,,,,,,,,591,450,784.4704282199999,27.0,130
267264,27.0,43.97705078125,60052.967016601564,-0.01594669121695915,-4.883035951852799,30655.892578125,-1.1920928955078125e-07,0.010025113,0.046484375,0.0003,0.2,1300,,,,,
268288,27.0,47.77902603149414,,,,,,,,,,,,,,,
269312,27.0,44.62516403198242,58859.434326171875,-0.02073029386665439,-4.895803838968277,30823.021484375,0.0,0.011499624,0.084619140625,0.0003,0.2,1310,,,,,
270336,27.0,45.74753189086914,,,,,,,,,,,,,,,
271360,27.0,47.88825988769531,57464.56600341797,-0.01672121320589213,-4.877112069725991,29948.837890625,-1.1920928955078125e-07,0.00963974,0.045458984375,0.0003,0.2,1320,,,,,
272384,27.0,45.6766357421875,,,,,,,,,,,,,,,
