time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/explained_variance,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
570368,180.0,50.89369583129883,1.1920928955078125e-07,64.51981909871101,2780,-0.02033282970514847,0.0003,0.220849609375,58.38386917114258,0.2,0.017535513,-3.9847348742187023,,,,,
571392,180.0,47.47455596923828,,,,,,,,,,,,,,,
572416,180.0,48.095703125,0.0,58.96644577383995,2790,-0.018615828345355113,0.0003,0.199267578125,28.114850997924805,0.2,0.016706722,-3.9933738887310026,,,,,
573440,180.0,50.591697692871094,,,,,,,,,,,,,,,
573440,,,,,,,,,,,,,280,1708,51.62314034999999,180.0,335
574464,180.0,51.49720001220703,0.0,59.245704329013826,2800,-0.019473197299521416,0.0003,0.19208984375,28.69268035888672,0.2,0.016672926,-3.967045097053051,,,,,
575488,180.0,52.49291229248047,,,,,,,,,,,,,,,
576512,180.0,49.680580139160156,0.0,61.79507881999016,2810,-0.019107417544000783,0.0003,0.242919921875,37.440067291259766,0.2,0.019201763,-3.956456461548805,,,,,
577536,180.0,48.73321533203125,,,,,,,,,,,,,,,
578560,180.0,49.01182174682617,-1.1920928955078125e-07,59.762481302022934,2820,-0.020519563549896702,0.0003,0.23095703125,32.07901382446289,0.2,0.018417194,-3.9766139164566994,,,,,
579584,180.0,52.828582763671875,,,,,,,,,,,,,,,
580608,180.0,49.30413818359375,0.0,64.5821255326271,2830,-0.023530668727471494,0.0003,0.262548828125,22.601167678833008,0.2,0.018740086,-4.005533919483423,,,,,
581632,180.0,46.2022819519043,,,,,,,,,,,,,,,
582656,180.0,56.54572296142578,0.0,68.3736502289772,2840,-0.018978765988140366,0.0003,0.18994140625,43.92209243774414,0.2,0.016244428,-4.005793187022209,,,,,
583680,180.0,50.34037780761719,,,,,,,,,,,,,,,
584704,180.0,44.78289031982422,-1.1920928955078125e-07,55.52835309505463,2850,-0.020467460512008984,0.0003,0.22919921875,28.928796768188477,0.2,0.020238152,-4.054508075118065,,,,,
585728,180.0,44.44210433959961,,,,,,,,,,,,,,,
586752,180.0,45.989871978759766,-1.1920928955078125e-07,61.41934844851494,2860,-0.017407700649346224,0.0003,0.213623046875,25.172916412353516,0.2,0.018589677,-4.066684557497501,,,,,
587776,180.0,47.603431701660156,,,,,,,,,,,,,,,
588800,180.0,48.30258560180664,0.0,57.78854478001595,2870,-0.019407288602087645,0.0003,0.210595703125,36.690757751464844,0.2,0.018078547,-4.029653678834438,,,,,
589824,180.0,48.79483413696289,,,,,,,,,,,,,,,
590848,180.0,45.528106689453125,0.0,64.70125680565835,2880,-0.020887146089808083,0.0003,0.2298828125,20.337406158447266,0.2,0.016520366,-4.005607674270868,,,,,
591872,180.0,46.15647888183594,,,,,,,,,,,,,,,
592896,180.0,52.305931091308594,0.0,63.350542896986006,2890,-0.02221909206273267,0.0003,0.2453125,28.296607971191406,0.2,0.018708244,-3.992869858443737,,,,,
593920,180.0,45.12791061401367,,,,,,,,,,,,,,,
593920,,,,,,,,,,,,,290,1770,48.85549773999999,180.0,335
