time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
306176,21.228355407714844,12.0,1490,0.0003,-2.3250368133187296,0.010772222897503524,0.39755859375,1.1920928955078125e-07,1381.5627811431884,0.2,649.0643310546875,0.0652142,,,,,
307200,15.979595184326172,12.0,,,,,,,,,,,,,,,
307200,,,,,,,,,,,,,125.80456963,12.0,150,635,483
308224,16.65379524230957,12.0,1500,0.0003,-2.3139049515128134,0.016768666030839086,0.3974609375,5.960464477539063e-08,1104.2325035095214,0.2,345.1834716796875,0.056468196,,,,,
309248,21.879314422607422,12.0,,,,,,,,,,,,,,,
310272,21.653427124023438,12.0,1510,0.0003,-2.3145401902496814,0.007656583850621246,0.351611328125,0.0,1402.1005687713623,0.2,653.544921875,0.067582965,,,,,
311296,15.0411376953125,12.0,,,,,,,,,,,,,,,
312320,14.893329620361328,12.0,1520,0.0003,-2.2975102648139,0.02465460310486378,0.337744140625,0.0,1885.6175720214844,0.2,838.640625,0.060944855,,,,,
313344,16.794212341308594,12.0,,,,,,,,,,,,,,,
314368,20.11090850830078,12.0,1530,0.0003,-2.323783949762583,0.014717727062816266,0.319287109375,5.960464477539063e-08,1314.3944282531738,0.2,623.2113037109375,0.05569809,,,,,
315392,14.85669231414795,12.0,,,,,,,,,,,,,,,
316416,15.2015380859375,12.0,1540,0.0003,-2.312034275382757,0.021645647328114137,0.319482421875,0.0,1233.859419441223,0.2,572.41259765625,0.06185162,,,,,
317440,22.32622528076172,12.0,,,,,,,,,,,,,,,
318464,15.524243354797363,12.0,1550,0.0003,-2.2950139194726944,0.014031064776645508,0.26591796875,0.0,1721.103172492981,0.2,712.2662353515625,0.05926548,,,,,
319488,12.383360862731934,12.0,,,,,,,,,,,,,,,
320512,21.512435913085938,12.0,1560,0.0003,-2.2838154353201388,0.01992504603113048,0.325634765625,-1.1920928955078125e-07,1482.9800006866456,0.2,755.5569458007812,0.06899144,,,,,
321536,18.03934097290039,12.0,,,,,,,,,,,,,,,
322560,20.60955047607422,12.0,1570,0.0003,-2.3142545878887177,0.02267418732808437,0.361376953125,0.0,1022.0484914779663,0.2,422.03173828125,0.057932824,,,,,
323584,23.21639633178711,12.0,,,,,,,,,,,,,,,
324608,20.07141876220703,12.0,1580,0.0003,-2.3151463717222214,0.018053340681944974,0.29482421875,0.0,1260.7006595611572,0.2,580.6407470703125,0.05231294,,,,,
325632,15.838430404663086,12.0,,,,,,,,,,,,,,,
326656,21.843975067138672,12.0,1590,0.0003,-2.323542994260788,0.019103548412385863,0.329345703125,0.0,986.7275260925293,0.2,452.14727783203125,0.05552775,,,,,
327680,23.006999969482422,12.0,,,,,,,,,,,,,,,
327680,,,,,,,,,,,,,139.39942294000002,12.0,160,677,483
328704,21.1023006439209,12.0,1600,0.0003,-2.3261559240520002,0.01286034192162333,0.29365234375,0.0,1123.437050628662,0.2,480.09375,0.04832983,,,,,
329728,12.861749649047852,12.0,,,,,,,,,,,,,,,
330752,17.375072479248047,12.0,1610,0.0003,-2.3387332245707513,0.01870046420226572,0.355615234375,-1.1920928955078125e-07,1183.8446126937865,0.2,560.909423828125,0.049075954,,,,,
331776,19.181106567382812,12.0,,,,,,,,,,,,,,,
332800,17.632568359375,12.0,1620,0.0003,-2.35811704993248,0.013944282061129343,0.297021484375,0.0,1156.7514783859253,0.2,612.4754638671875,0.043813363,,,,,
333824,18.854717254638672,12.0,,,,,,,,,,,,,,,
334848,17.258390426635742,12.0,1630,0.0003,-2.3605476833879946,0.01768462185136741,0.330615234375,0.0,1221.3403268814086,0.2,474.7591552734375,0.06599629,,,,,
335872,15.513769149780273,12.0,,,,,,,,,,,,,,,
336896,23.734107971191406,12.0,1640,0.0003,-2.3441394083201885,0.011203057548846118,0.304638671875,0.0,1372.333085823059,0.2,556.8619995117188,0.05973877,,,,,
337920,23.860088348388672,12.0,,,,,,,,,,,,,,,
338944,22.802845001220703,12.0,1650,0.0003,-2.333337751030922,0.012161107786232606,0.31982421875,1.1920928955078125e-07,1494.3420091629027,0.2,573.1716918945312,0.0689282,,,,,
339968,12.882930755615234,12.0,,,,,,,,,,,,,,,
340992,24.590229034423828,12.0,1660,0.0003,-2.3280381977558138,0.03198673187653185,0.360302734375,0.0,1383.9761938095094,0.2,615.9776000976562,0.08819012,,,,,
342016,22.247520446777344,12.0,,,,,,,,,,,,,,,
343040,14.268465995788574,12.0,1670,0.0003,-2.3221273474395274,0.032566426871926527,0.417333984375,0.0,1273.1375179290771,0.2,607.26708984375,0.0859989,,,,,
344064,9.980472564697266,12.0,,,,,,,,,,,,,,,
345088,12.374872207641602,12.0,1680,0.0003,-2.3477578163146973,0.02503473304095678,0.44892578125,5.960464477539063e-08,1130.2672704696656,0.2,492.3102111816406,0.088539645,,,,,
346112,13.828498840332031,12.0,,,,,,,,,,,,,,,
347136,15.481376647949219,12.0,1690,0.0003,-2.346513646841049,0.033862390356080144,0.357666015625,1.1920928955078125e-07,1009.8003622055054,0.2,434.964111328125,0.07858309,,,,,
348160,22.441669464111328,12.0,,,,,,,,,,,,,,,
348160,,,,,,,,,,,,,155.26611855000002,12.0,170,716,486
349184,21.441184997558594,12.0,1700,0.0003,-2.3576005563139915,0.029753644109587186,0.387109375,0.0,969.1580017089843,0.2,389.905517578125,0.080930226,,,,,
350208,22.467378616333008,12.0,,,,,,,,,,,,,,,
351232,22.719497680664062,12.0,1710,0.0003,-2.367578275501728,0.022527607280062513,0.375,-1.1920928955078125e-07,1354.2273191452027,0.2,631.74560546875,0.05674285,,,,,
352256,22.710573196411133,12.0,,,,,,,,,,,,,,,
353280,13.781858444213867,12.0,1720,0.0003,-2.3608564756810666,0.025358397065429018,0.36953125,0.0,889.010041809082,0.2,239.21546936035156,0.05776482,,,,,
354304,11.519368171691895,12.0,,,,,,,,,,,,,,,
355328,15.871087074279785,12.0,1730,0.0003,-2.3740027345716954,0.016045818824204618,0.387841796875,0.0,1342.307822227478,0.2,602.7890014648438,0.08755817,,,,,
356352,14.904261589050293,12.0,,,,,,,,,,,,,,,
357376,14.51017951965332,12.0,1740,0.0003,-2.3674694523215294,0.026578568265540524,0.36552734375,-1.1920928955078125e-07,947.6829377174378,0.2,398.6875,0.0645967,,,,,
358400,15.385835647583008,12.0,,,,,,,,,,,,,,,
359424,9.91860580444336,12.0,1750,0.0003,-2.367942401766777,0.027526650906656867,0.359375,-1.1920928955078125e-07,945.1428480148315,0.2,407.117919921875,0.06985852,,,,,
360448,14.380579948425293,12.0,,,,,,,,,,,,,,,
