eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/clip_range,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations
40.0,50.630615234375,142336,0.0,0.0003,138709.02927246093,0.074114084,0.42119140625,-0.027011627894535196,62965.66796875,690,-6.350907281041145,0.2,,,,,
40.0,50.34791946411133,143360,,,,,,,,,,,,,,,
,,143360,,,,,,,,,,,220,1305.90197374,40.0,650,70
40.0,52.46076965332031,144384,1.1920928955078125e-07,0.0003,145485.13115234376,0.07880898,0.443798828125,-0.03152794212801382,73237.2734375,700,-6.348925484716892,0.2,,,,,
40.0,51.247833251953125,145408,,,,,,,,,,,,,,,
40.0,50.245887756347656,146432,0.0,0.0003,144988.7021484375,0.07076676,0.4130859375,-0.02564312408794649,78854.53125,710,-6.345471234619618,0.2,,,,,
40.0,49.944908142089844,147456,,,,,,,,,,,,,,,
40.0,49.526329040527344,148480,-1.1920928955078125e-07,0.0003,145999.45668945313,0.0773786,0.411572265625,-0.023583592237264382,76071.6171875,720,-6.34333987981081,0.2,,,,,
40.0,55.450904846191406,149504,,,,,,,,,,,,,,,
40.0,49.92346954345703,150528,0.0,0.0003,113252.15324707031,0.07805529,0.4244140625,-0.022842137439147335,61484.6640625,730,-6.342143841087818,0.2,,,,,
40.0,53.127479553222656,151552,,,,,,,,,,,,,,,
40.0,45.695457458496094,152576,1.1920928955078125e-07,0.0003,135935.0504638672,0.07364585,0.4248046875,-0.0241000908674323,68428.359375,740,-6.339995741844177,0.2,,,,,
40.0,52.22688293457031,153600,,,,,,,,,,,,,,,
40.0,49.27302551269531,154624,0.0,0.0003,117053.7526611328,0.073935285,0.405126953125,-0.027310286977444774,57492.54296875,750,-6.339313566684723,0.2,,,,,
40.0,44.12714385986328,155648,,,,,,,,,,,,,,,
40.0,40.839508056640625,156672,-1.1920928955078125e-07,0.0003,113382.82985839844,0.0803069,0.4333984375,-0.02099791670043487,47059.8203125,760,-6.339729006588459,0.2,,,,,
40.0,45.90412139892578,157696,,,,,,,,,,,,,,,
40.0,50.90550231933594,158720,1.1920928955078125e-07,0.0003,138184.9538330078,0.073051974,0.413525390625,-0.021535069475066847,64696.97265625,770,-6.340005776286125,0.2,,,,,
40.0,51.907737731933594,159744,,,,,,,,,,,,,,,
40.0,47.472869873046875,160768,1.1920928955078125e-07,0.0003,141526.8658935547,0.07565977,0.41201171875,-0.023503620903647972,62946.00390625,780,-6.339537604153156,0.2,,,,,
40.0,50.541900634765625,161792,,,,,,,,,,,,,,,
40.0,57.10789108276367,162816,0.0,0.0003,125066.062890625,0.07977831,0.4228515625,-0.026534558547427877,63792.046875,790,-6.338751570880413,0.2,,,,,
40.0,49.644065856933594,163840,,,,,,,,,,,,,,,
,,163840,,,,,,,,,,,220,1261.8250813099999,40.0,744,80
40.0,56.845054626464844,164864,-1.1920928955078125e-07,0.0003,131947.02075195312,0.07969675,0.43994140625,-0.02188590753939934,60868.3515625,800,-6.33722487539053,0.2,,,,,
40.0,44.34747314453125,165888,,,,,,,,,,,,,,,
40.0,42.230751037597656,166912,0.0,0.0003,125538.29697265624,0.073496014,0.426123046875,-0.019879996329837012,68170.6796875,810,-6.336996233463287,0.2,,,,,
40.0,49.183685302734375,167936,,,,,,,,,,,,,,,
40.0,46.38182830810547,168960,-2.384185791015625e-07,0.0003,126575.41669921875,0.07535437,0.40478515625,-0.021658785585896113,58888.88671875,820,-6.337904591858387,0.2,,,,,
40.0,52.281158447265625,169984,,,,,,,,,,,,,,,
40.0,52.51801300048828,171008,0.0,0.0003,131307.506640625,0.07589333,0.40986328125,-0.02505780151550425,56491.01953125,830,-6.336945590376854,0.2,,,,,
40.0,49.989837646484375,172032,,,,,,,,,,,,,,,
40.0,48.072410583496094,173056,-1.1920928955078125e-07,0.0003,135385.3645263672,0.07628489,0.412939453125,-0.022025382673018613,65272.4453125,840,-6.336831519007683,0.2,,,,,
40.0,52.645477294921875,174080,,,,,,,,,,,,,,,
40.0,48.05107116699219,175104,0.0,0.0003,106958.75773925781,0.07535362,0.4130859375,-0.01911111196532147,56228.73046875,850,-6.339288848638534,0.2,,,,,
40.0,57.31956481933594,176128,,,,,,,,,,,,,,,
40.0,51.19391632080078,177152,0.0,0.0003,131331.66257324218,0.074112535,0.399755859375,-0.025399058699258605,66306.515625,860,-6.336663892865181,0.2,,,,,
40.0,47.41071701049805,178176,,,,,,,,,,,,,,,
40.0,46.708744049072266,179200,0.0,0.0003,136844.0169189453,0.069241166,0.40595703125,-0.024336651724297553,68119.7578125,870,-6.336291427910328,0.2,,,,,
40.0,48.0839729309082,180224,,,,,,,,,,,,,,,
40.0,50.56195831298828,181248,0.0,0.0003,146506.33657226563,0.07139501,0.40498046875,-0.029194011780782604,70355.328125,880,-6.335527895390987,0.2,,,,,
40.0,47.411720275878906,182272,,,,,,,,,,,,,,,
40.0,52.02101135253906,183296,0.0,0.0003,128181.26164550781,0.07330738,0.416943359375,-0.024262008105870335,73303.2578125,890,-6.334271380305291,0.2,,,,,
40.0,53.821685791015625,184320,,,,,,,,,,,,,,,
,,184320,,,,,,,,,,,220,1288.2595351899997,40.0,835,90
