time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/approx_kl,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations
468992,47.18334197998047,80.0,3e-05,-0.011351670557087346,36.13615850880742,0.1479248046875,14.812129974365234,0.1,1.1920928955078125e-07,0.0037583287,1140,-4.806586881354451,,,,,
471040,50.18639373779297,80.0,,,,,,,,,,,,,,,
473088,47.4203987121582,80.0,3e-05,-0.011375552877689188,33.54408139958978,0.1552490234375,23.786537170410156,0.1,0.0,0.0030275793,1150,-4.783616500720382,,,,,
475136,44.520103454589844,80.0,,,,,,,,,,,,,,,
477184,52.58969497680664,80.0,3e-05,-0.011608577307015366,31.207383888959885,0.155126953125,16.017221450805664,0.1,0.0,0.0033135721,1160,-4.755661869421601,,,,,
479232,47.68281555175781,80.0,,,,,,,,,,,,,,,
481280,44.501182556152344,80.0,3e-05,-0.011056682050548262,33.83828802779317,0.152734375,19.339704513549805,0.1,0.0,0.0034186891,1170,-4.748051046952606,,,,,
483328,46.62068557739258,80.0,,,,,,,,,,,,,,,
485376,46.19272232055664,80.0,3e-05,-0.010552283500510384,34.88380580693483,0.14443359375,29.188138961791992,0.1,0.0,0.0036182846,1180,-4.747609684243798,,,,,
487424,51.7117805480957,80.0,,,,,,,,,,,,,,,
489472,47.847862243652344,80.0,3e-05,-0.010192408450893708,33.94224800243974,0.1398193359375,35.388877868652344,0.1,0.0,0.0034529269,1190,-4.734012680873275,,,,,
491520,51.674095153808594,80.0,,,,,,,,,,,,,,,
491520,,,,,,,,,,,,,47.83457440000001,80.0,65,7539,120
493568,49.10956954956055,80.0,3e-05,-0.010714382851983829,32.68908884525299,0.1533935546875,23.94338035583496,0.1,0.0,0.0039840834,1200,-4.721573089435696,,,,,
495616,48.72550964355469,80.0,,,,,,,,,,,,,,,
497664,45.76019287109375,80.0,3e-05,-0.010085106973201618,37.06229667365551,0.1311279296875,36.24530029296875,0.1,0.0,0.003085857,1210,-4.707069290429354,,,,,
499712,52.572792053222656,80.0,,,,,,,,,,,,,,,
501760,48.80071258544922,80.0,3e-05,-0.010060259057786425,35.52926712706685,0.1370361328125,30.93451499938965,0.1,0.0,0.003242917,1220,-4.709043939039111,,,,,
503808,48.58002853393555,80.0,,,,,,,,,,,,,,,
505856,47.263221740722656,80.0,3e-05,-0.010823071961021924,32.872988319396974,0.12861328125,23.528276443481445,0.1,0.0,0.0035460861,1230,-4.688337216898799,,,,,
507904,45.17669677734375,80.0,,,,,,,,,,,,,,,
509952,46.23094177246094,80.0,3e-05,-0.010308073054966371,31.65106090530753,0.146875,22.639007568359375,0.1,0.0,0.0039206804,1240,-4.654582599923015,,,,,
512000,45.73435592651367,80.0,,,,,,,,,,,,,,,
514048,51.29605484008789,80.0,3e-05,-0.009586968226358294,34.91175964400172,0.120458984375,29.414005279541016,0.1,0.0,0.0032035212,1250,-4.645497593656183,,,,,
516096,47.13665771484375,80.0,,,,,,,,,,,,,,,
