time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/clip_range,train/explained_variance,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/n_updates,train/learning_rate,train/std,train/entropy_loss,train/loss
392640,13551.396313,1200.0,,,,,,0.2,0.0,0.032527648,0.3314453125,-0.031871932368085255,3.002675224840641,1910,0.0003,0.9703251719474792,-276.45213375091555,1.1696330308914185
393840,13563.669375,1200.0,,,,,,,,,,,,,,,,
393984,,,2484,78,4555.47802072,1200.0,64,,,,,,,,,,,
395040,14526.751893,1200.0,,,,,,0.2,0.0,0.034000896,0.373828125,-0.03780031551141292,2.103688274696469,1920,0.0003,0.9700387120246887,-276.3594654083252,0.8789581656455994
396032,,,2509,79,4557.2327147900005,1200.0,64,,,,,,,,,,,
396240,10642.734681,1200.0,,,,,,0.2,0.0,0.039806694,0.371435546875,-0.03750972627312876,3.7395139276981353,1930,0.0003,0.9692724943161011,-276.22993297576903,1.8332254886627197
397440,10621.015769,1200.0,,,,,,,,,,,,,,,,
398080,,,2543,80,4561.893202800001,1200.0,64,,,,,,,,,,,
398640,12452.664403,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.030995365,0.3537109375,-0.035274024109821764,2.8043661423027517,1940,0.0003,0.9687991142272949,-276.0738528251648,2.2385306358337402
399840,12441.849144,1200.0,,,,,,,,,,,,,,,,
400128,,,2576,81,4566.39783908,1200.0,64,,,,,,,,,,,
401040,10401.155974,1200.0,,,,,,0.2,0.0,0.03342547,0.34765625,-0.03143835910595953,2.723050819709897,1950,0.0003,0.9695489406585693,-276.1234503746033,1.4669921398162842
402176,,,2601,82,4568.88250593,1200.0,64,,,,,,,,,,,
402240,12427.662847,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.036504354,0.364501953125,-0.03866788689338137,3.4055277280509473,1960,0.0003,0.9683440923690796,-276.02709465026857,1.0937469005584717
403440,12372.773574,1200.0,,,,,,,,,,,,,,,,
404224,,,2634,83,4573.727390080001,1200.0,64,,,,,,,,,,,
404640,14567.11635,1200.0,,,,,,0.2,0.0,0.032517068,0.364013671875,-0.033748145899153315,2.267175555601716,1970,0.0003,0.9671176075935364,-275.73992223739623,0.852865993976593
405840,14528.074995,1200.0,,,,,,,,,,,,,,,,
406272,,,2668,84,4578.02734408,1200.0,64,,,,,,,,,,,
407040,12496.009934,1200.0,,,,,,0.2,0.0,0.03514508,0.35068359375,-0.03719414082588628,2.3394518092274668,1980,0.0003,0.9663046002388,-275.5240963935852,1.0414953231811523
408240,12539.686179,1200.0,,,,,,,,,,,,,,,,
