eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/loss,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed
180.0,211968,80.88453674316406,0.2,0.0,-3.5352288924157618,0.0002,0.014103022,21.734643974900244,1030,-0.012543453826219774,0.156494140625,9.428964614868164,,,,,
180.0,212992,78.0964126586914,,,,,,,,,,,,,,,
180.0,214016,79.73383331298828,0.2,1.1920928955078125e-07,-3.52726713642478,0.0002,0.015100727,19.85191926434636,1040,-0.012379245326155797,0.171630859375,9.21642780303955,,,,,
180.0,215040,84.09400939941406,,,,,,,,,,,,,,,
180.0,216064,85.09589385986328,0.2,1.1920928955078125e-07,-3.512578745931387,0.0002,0.0127751045,19.473942015320063,1050,-0.01200747746079287,0.17734375,17.49290657043457,,,,,
180.0,217088,81.41180419921875,,,,,,,,,,,,,,,
180.0,218112,83.40818786621094,0.2,0.0,-3.5042833991348745,0.0002,0.01396265,19.00187555179,1060,-0.009936540541457362,0.15478515625,19.533090591430664,,,,,
180.0,219136,81.10063171386719,,,,,,,,,,,,,,,
180.0,220160,83.61629486083984,0.2,0.0,-3.5025463365018368,0.0002,0.015369979,19.737385956197976,1070,-0.01430649637550232,0.178271484375,11.284232139587402,,,,,
180.0,221184,79.86492156982422,,,,,,,,,,,,,,,
180.0,222208,83.24790954589844,0.2,0.0,-3.5095140643417837,0.0002,0.015170485,18.2128998093307,1080,-0.012345088690926787,0.170654296875,12.108165740966797,,,,,
180.0,223232,81.56291198730469,,,,,,,,,,,,,,,
