time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations
264192,16.370698928833008,180.0,,,,,,,,,,,,,,,
265216,15.195409774780273,180.0,-0.030948122970585246,0.2779296875,1290,0.0,0.023034502,0.2,-5.5821410283446316,0.0003,14.194360733032227,46.26204997301102,,,,,
266240,14.540019989013672,180.0,,,,,,,,,,,,,,,
266240,,,,,,,,,,,,,180.0,14.74675553,341,779,130
267264,15.130073547363281,180.0,-0.03194769429101143,0.30537109375,1300,1.1920928955078125e-07,0.021281196,0.2,-5.596659831702709,0.0003,12.706398963928223,38.953297758102416,,,,,
268288,16.091657638549805,180.0,,,,,,,,,,,,,,,
269312,15.800230026245117,180.0,-0.032523383657098746,0.335205078125,1310,0.0,0.023518436,0.2,-5.597405901551246,0.0003,22.885276794433594,45.28465832173824,,,,,
270336,14.74284839630127,180.0,,,,,,,,,,,,,,,
271360,14.711193084716797,180.0,-0.03495560235678567,0.298828125,1320,-1.1920928955078125e-07,0.021857483,0.2,-5.601901561021805,0.0003,28.01114273071289,40.16224443912506,,,,,
272384,14.241758346557617,180.0,,,,,,,,,,,,,,,
273408,14.902856826782227,180.0,-0.03232702098102891,0.319775390625,1330,-1.1920928955078125e-07,0.022795204,0.2,-5.6195335447788235,0.0003,11.452391624450684,48.66181028485298,,,,,
274432,14.393194198608398,180.0,,,,,,,,,,,,,,,
275456,13.837529182434082,180.0,-0.03537290469685104,0.336572265625,1340,-1.1920928955078125e-07,0.021351244,0.2,-5.617905312776566,0.0003,34.90199279785156,47.80837011933327,,,,,
276480,14.853172302246094,180.0,,,,,,,,,,,,,,,
277504,14.464014053344727,180.0,-0.03451332630211255,0.34541015625,1350,0.0,0.024082877,0.2,-5.614722937345505,0.0003,25.46994972229004,37.78577095717192,,,,,
278528,14.453895568847656,180.0,,,,,,,,,,,,,,,
279552,14.258281707763672,180.0,-0.033624676369072404,0.346826171875,1360,0.0,0.025918582,0.2,-5.638546732068062,0.0003,16.89353370666504,40.86913323402405,,,,,
280576,14.720195770263672,180.0,,,,,,,,,,,,,,,
281600,16.276058197021484,180.0,-0.033710820297710595,0.34033203125,1370,-2.384185791015625e-07,0.022716645,0.2,-5.623527956008911,0.0003,13.916279792785645,39.626760146021844,,,,,
282624,13.858720779418945,180.0,,,,,,,,,,,,,,,
